fitness,origem,tempo_criacao,geracao,individuo,diversidade,obs
4686.998877,Geração Inicial,1733625913.1208687,0,"{20639: 686, 20640: 686, 20641: 953, 20642: 953, 20643: 58096, 20645: 57639, 20646: 1391, 20647: 1193, 20648: 52945, 20650: 85669, 20651: 953, 20652: 62344, 20653: 58096, 20654: 57639, 20693: 62344, 20698: 1167, 20717: 52945, 20725: 1167, 20759: 1193, 20790: 58543, 20806: 686, 20820: 78631, 21077: 1540}",19.822988505747126,normal
8892.482877,Geração Inicial,1733625913.1677692,0,"{20639: 686, 20640: 686, 20641: 52945, 20642: 953, 20643: 57639, 20645: 1193, 20646: 1391, 20647: 62344, 20648: 58096, 20650: 1193, 20651: 85669, 20652: 85669, 20653: 62344, 20654: 62344, 20693: 85669, 20698: 58543, 20717: 52945, 20725: 57639, 20759: 52945, 20790: 1540, 20806: 52945, 20820: 58096, 21077: 1540}",19.822988505747126,normal
12310.358877000002,Geração Inicial,1733625913.2000165,0,"{20639: 1391, 20640: 52945, 20641: 52945, 20642: 62344, 20643: 1193, 20645: 1193, 20646: 58096, 20647: 57639, 20648: 85669, 20650: 1391, 20651: 686, 20652: 57639, 20653: 62344, 20654: 85669, 20693: 78631, 20698: 62344, 20717: 78631, 20725: 58543, 20759: 686, 20790: 58543, 20806: 58543, 20820: 52945, 21077: 57639}",19.822988505747126,normal
8615.814876999997,Geração Inicial,1733625913.2369618,0,"{20639: 1193, 20640: 1391, 20641: 57639, 20642: 62344, 20643: 58096, 20645: 686, 20646: 686, 20647: 1391, 20648: 52945, 20650: 52945, 20651: 57639, 20652: 85669, 20653: 62344, 20654: 57639, 20693: 62344, 20698: 58096, 20717: 58096, 20725: 52945, 20759: 953, 20790: 1193, 20806: 686, 20820: 78631, 21077: 1540}",19.822988505747126,normal
8892.482876999999,Geração Inicial,1733625913.2676368,0,"{20639: 953, 20640: 57639, 20641: 1391, 20642: 1193, 20643: 52945, 20645: 686, 20646: 62344, 20647: 1193, 20648: 62344, 20650: 953, 20651: 953, 20652: 85669, 20653: 1391, 20654: 686, 20693: 57639, 20698: 85669, 20717: 62344, 20725: 58543, 20759: 58096, 20790: 1540, 20806: 1391, 20820: 85669, 21077: 58096}",19.822988505747126,normal
7498.498877,Geração Inicial,1733625913.3009682,0,"{20639: 57639, 20640: 85669, 20641: 58096, 20642: 57639, 20643: 52945, 20645: 52945, 20646: 1193, 20647: 62344, 20648: 85669, 20650: 62344, 20651: 1193, 20652: 686, 20653: 57639, 20654: 58096, 20693: 58543, 20698: 1167, 20717: 1167, 20725: 85669, 20759: 1391, 20790: 58543, 20806: 1391, 20820: 78631, 21077: 1540}",19.822988505747126,normal
6366.528877000004,Geração Inicial,1733625913.335954,0,"{20639: 686, 20640: 58096, 20641: 57639, 20642: 1193, 20643: 57639, 20645: 85669, 20646: 953, 20647: 953, 20648: 58096, 20650: 686, 20651: 1391, 20652: 62344, 20653: 1193, 20654: 1391, 20693: 85669, 20698: 58543, 20717: 58543, 20725: 52945, 20759: 52945, 20790: 1540, 20806: 52945, 20820: 1167, 21077: 1540}",19.822988505747126,normal
9748.940877000001,Geração Inicial,1733625913.3768277,0,"{20639: 57639, 20640: 58096, 20641: 953, 20642: 85669, 20643: 52945, 20645: 1193, 20646: 1193, 20647: 52945, 20648: 62344, 20650: 953, 20651: 85669, 20652: 57639, 20653: 57639, 20654: 62344, 20693: 85669, 20698: 78631, 20717: 58096, 20725: 1167, 20759: 1391, 20790: 58543, 20806: 1391, 20820: 52945, 21077: 1193}",19.822988505747126,normal
7212.952877000005,Geração Inicial,1733625913.4066389,0,"{20639: 953, 20640: 58096, 20641: 85669, 20642: 85669, 20643: 686, 20645: 1391, 20646: 62344, 20647: 57639, 20648: 1193, 20650: 953, 20651: 1391, 20652: 52945, 20653: 85669, 20654: 57639, 20693: 58096, 20698: 62344, 20717: 58543, 20725: 78631, 20759: 1193, 20790: 1540, 20806: 1391, 20820: 52945, 21077: 58096}",19.822988505747126,normal
4686.998877000004,Geração Inicial,1733625913.4383667,0,"{20639: 686, 20640: 85669, 20641: 58096, 20642: 1391, 20643: 1193, 20645: 953, 20646: 953, 20647: 62344, 20648: 1193, 20650: 57639, 20651: 57639, 20652: 58096, 20653: 52945, 20654: 62344, 20693: 58096, 20698: 52945, 20717: 62344, 20725: 78631, 20759: 686, 20790: 1540, 20806: 58543, 20820: 1167, 21077: 58096}",19.822988505747126,normal
8615.814877000004,Geração Inicial,1733625913.4754193,0,"{20639: 52945, 20640: 1193, 20641: 686, 20642: 1391, 20643: 52945, 20645: 85669, 20646: 686, 20647: 953, 20648: 1391, 20650: 85669, 20651: 1193, 20652: 62344, 20653: 58096, 20654: 953, 20693: 57639, 20698: 58096, 20717: 52945, 20725: 85669, 20759: 58096, 20790: 1540, 20806: 52945, 20820: 78631, 21077: 1540}",19.822988505747126,normal
8652.434877000005,Geração Inicial,1733625913.5169275,0,"{20639: 686, 20640: 85669, 20641: 62344, 20642: 953, 20643: 57639, 20645: 52945, 20646: 1391, 20647: 85669, 20648: 1391, 20650: 686, 20651: 58096, 20652: 52945, 20653: 1391, 20654: 62344, 20693: 58096, 20698: 58543, 20717: 52945, 20725: 57639, 20759: 1193, 20790: 58543, 20806: 1391, 20820: 1167, 21077: 58543}",19.822988505747126,normal
8615.814876999999,Geração Inicial,1733625913.5542023,0,"{20639: 686, 20640: 686, 20641: 1391, 20642: 57639, 20643: 52945, 20645: 57639, 20646: 85669, 20647: 953, 20648: 62344, 20650: 953, 20651: 1391, 20652: 1391, 20653: 85669, 20654: 58096, 20693: 57639, 20698: 58096, 20717: 62344, 20725: 78631, 20759: 1193, 20790: 1540, 20806: 52945, 20820: 57639, 21077: 1193}",19.822988505747126,normal
10295.344877000001,Geração Inicial,1733625913.588228,0,"{20639: 953, 20640: 52945, 20641: 1391, 20642: 58096, 20643: 953, 20645: 1193, 20646: 85669, 20647: 85669, 20648: 52945, 20650: 1391, 20651: 58096, 20652: 1193, 20653: 1193, 20654: 62344, 20693: 85669, 20698: 62344, 20717: 52945, 20725: 57639, 20759: 686, 20790: 57639, 20806: 1391, 20820: 62344, 21077: 1540}",19.822988505747126,normal
10493.634877000002,Geração Inicial,1733625913.6234043,0,"{20639: 1193, 20640: 1193, 20641: 953, 20642: 57639, 20643: 52945, 20645: 57639, 20646: 62344, 20647: 686, 20648: 52945, 20650: 953, 20651: 686, 20652: 686, 20653: 1193, 20654: 1391, 20693: 58543, 20698: 62344, 20717: 85669, 20725: 58543, 20759: 85669, 20790: 58543, 20806: 52945, 20820: 52945, 21077: 1540}",19.822988505747126,normal
6366.528876999993,Geração Inicial,1733625913.6615627,0,"{20639: 85669, 20640: 85669, 20641: 58096, 20642: 58096, 20643: 1193, 20645: 62344, 20646: 62344, 20647: 1391, 20648: 57639, 20650: 52945, 20651: 85669, 20652: 953, 20653: 57639, 20654: 686, 20693: 62344, 20698: 58543, 20717: 62344, 20725: 52945, 20759: 1391, 20790: 57639, 20806: 1391, 20820: 1167, 21077: 1540}",19.822988505747126,normal
9504.196877000004,Geração Inicial,1733625913.6936026,0,"{20639: 62344, 20640: 52945, 20641: 58096, 20642: 62344, 20643: 57639, 20645: 57639, 20646: 1391, 20647: 52945, 20648: 686, 20650: 58096, 20651: 58096, 20652: 85669, 20653: 953, 20654: 686, 20693: 62344, 20698: 78631, 20717: 58543, 20725: 78631, 20759: 953, 20790: 1540, 20806: 52945, 20820: 52945, 21077: 1540}",19.822988505747126,normal
9498.858877000002,Geração Inicial,1733625913.733648,0,"{20639: 58096, 20640: 57639, 20641: 953, 20642: 1193, 20643: 686, 20645: 686, 20646: 85669, 20647: 85669, 20648: 52945, 20650: 52945, 20651: 57639, 20652: 1391, 20653: 52945, 20654: 953, 20693: 58543, 20698: 57639, 20717: 58543, 20725: 78631, 20759: 58096, 20790: 58543, 20806: 52945, 20820: 62344, 21077: 1193}",19.822988505747126,normal
7463.034876999995,Geração Inicial,1733625913.7694297,0,"{20639: 85669, 20640: 1193, 20641: 1193, 20642: 62344, 20643: 52945, 20645: 58096, 20646: 57639, 20647: 52945, 20648: 62344, 20650: 58096, 20651: 52945, 20652: 1391, 20653: 1391, 20654: 953, 20693: 52945, 20698: 58543, 20717: 78631, 20725: 1167, 20759: 85669, 20790: 1540, 20806: 1391, 20820: 57639, 21077: 1193}",19.822988505747126,normal
11668.518877,Geração Inicial,1733625913.8093631,0,"{20639: 85669, 20640: 1391, 20641: 52945, 20642: 58096, 20643: 52945, 20645: 58096, 20646: 62344, 20647: 1391, 20648: 953, 20650: 85669, 20651: 1391, 20652: 1193, 20653: 953, 20654: 57639, 20693: 58543, 20698: 62344, 20717: 62344, 20725: 52945, 20759: 953, 20790: 58543, 20806: 1391, 20820: 58096, 21077: 1540}",19.822988505747126,normal
6366.528877000001,Geração Inicial,1733625913.8456187,0,"{20639: 1193, 20640: 85669, 20641: 57639, 20642: 58096, 20643: 686, 20645: 52945, 20646: 1391, 20647: 62344, 20648: 1391, 20650: 953, 20651: 1391, 20652: 1193, 20653: 1193, 20654: 62344, 20693: 52945, 20698: 58543, 20717: 62344, 20725: 1167, 20759: 57639, 20790: 58543, 20806: 686, 20820: 58543, 21077: 1540}",19.822988505747126,normal
7212.952876999998,Geração Inicial,1733625913.8783956,0,"{20639: 1193, 20640: 1193, 20641: 57639, 20642: 52945, 20643: 686, 20645: 686, 20646: 85669, 20647: 1391, 20648: 62344, 20650: 62344, 20651: 953, 20652: 953, 20653: 52945, 20654: 58096, 20693: 52945, 20698: 78631, 20717: 58096, 20725: 78631, 20759: 57639, 20790: 58543, 20806: 686, 20820: 62344, 21077: 1540}",19.822988505747126,normal
11178.388877000005,Geração Inicial,1733625913.9173439,0,"{20639: 58096, 20640: 1391, 20641: 85669, 20642: 85669, 20643: 686, 20645: 1193, 20646: 953, 20647: 52945, 20648: 1391, 20650: 58096, 20651: 58096, 20652: 62344, 20653: 686, 20654: 52945, 20693: 58096, 20698: 62344, 20717: 58543, 20725: 57639, 20759: 57639, 20790: 1193, 20806: 58543, 20820: 85669, 21077: 1193}",19.822988505747126,normal
10901.720876999998,Geração Inicial,1733625913.956615,0,"{20639: 85669, 20640: 1391, 20641: 57639, 20642: 52945, 20643: 953, 20645: 1193, 20646: 58096, 20647: 58096, 20648: 953, 20650: 85669, 20651: 85669, 20652: 57639, 20653: 953, 20654: 686, 20693: 57639, 20698: 52945, 20717: 78631, 20725: 57639, 20759: 62344, 20790: 1193, 20806: 1391, 20820: 52945, 21077: 58096}",19.822988505747126,normal
