IDPROFESSOR;NOME;VALORHORA;CHMIN;CHMAX
65161;PROFESSOR 134;69.9864;1200;2400
90942;PROFESSOR 135;45.7876;1200;2400
90998;PROFESSOR 136;77.2786;1200;2400
66626;PROFESSOR 137;87.6708;1200;2400
91053;PROFESSOR 138;80.5811;1200;2400
84328;PROFESSOR 139;58.2863;1200;2400
226;PROFESSOR 140;160.6662;1200;2400
65341;PROFESSOR 141;75.6806;1200;2400
91896;PROFESSOR 142;78.1524;1200;2400
68182;PROFESSOR 143;228.0289;1200;2400
245;PROFESSOR 144;212.3236;1200;2400
1182;PROFESSOR 145;123.3721;1200;2400
2114;PROFESSOR 146;90.2734;1200;2400
1291;PROFESSOR 147;123.7162;1200;2400
1489;PROFESSOR 148;114.9206;1200;2400
849;PROFESSOR 149;122.2622;1200;2400
1347;PROFESSOR 150;114.7023;1200;2400
686;PROFESSOR 151;138.8018;1200;2400
1173;PROFESSOR 152;135.4585;1200;2400
1113;PROFESSOR 153;173.1364;1200;2400
1294;PROFESSOR 154;126.6687;1200;2400
1585;PROFESSOR 155;135.2459;1200;2400
