geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,31913.00620402222,36456.198919,28344.81019699998,47.16781609195402
1,32254.033262255554,36456.198919,28803.116641999997,47.04137931034483
2,32359.02674272222,36456.198919,29475.78166799999,46.83218390804598
3,32725.900997166664,36456.198919,29985.875973000002,46.52873563218391
4,32976.522012166664,36456.198919,30529.818567999995,46.4
5,33241.814920699995,36456.198919,30868.91997299999,45.767816091954025
6,33475.80404656666,36456.198919,31294.727593999985,45.16551724137931
7,33686.85191243333,36456.198919,31602.806567999996,44.58850574712644
8,33711.77445771111,36456.198919,31831.36601899999,44.38390804597701
9,33989.758526844445,37040.095668,31932.680567999996,44.333333333333336
10,34169.39320424444,37040.095668,31986.917944000008,43.66896551724138
11,34446.48530761111,40239.89219400001,32284.022343999997,43.197701149425285
12,34812.017060666665,40239.89219400001,32989.02811799999,43.13793103448276
13,34927.8039225,40239.89219400001,33011.290418,42.85977011494253
14,35071.968475,40239.89219400001,33242.685694000014,42.63908045977011
15,35144.31150653333,40239.89219400001,33289.44834799998,42.11724137931034
16,35144.31150653333,40239.89219400001,33289.44834799998,42.11724137931034
17,35408.5465139,40279.84634799999,33421.579802333334,41.86206896551724
18,35586.958647622225,40279.84634799999,33717.36682733333,40.97011494252874
19,35887.247224811115,42278.06439300002,33805.932194,39.95632183908046
20,35887.247224811115,42278.06439300002,33805.932194,39.95632183908046
21,36163.01798727778,42278.06439300002,34030.012926333344,39.257471264367815
22,36289.20475992222,42278.06439300002,34331.526194000005,38.64367816091954
23,36655.6384510889,42278.06439300002,34366.92391799999,38.32183908045977
24,37156.99388425556,42278.06439300002,34476.90597299999,36.76551724137932
25,37393.96033078889,42278.06439300002,34525.47677300001,35.52183908045977
26,37881.87899728889,42332.07656799999,34652.35619400001,34.3816091954023
27,38293.6719495889,42332.07656799999,34797.73597299999,33.94942528735632
28,38769.38066275557,42332.07656799999,35060.05834400001,32.06436781609195
29,39032.74426785556,42332.07656799999,35564.533973,31.466666666666665
30,39032.74426785556,42332.07656799999,35564.533973,31.466666666666665
31,39032.74426785556,42332.07656799999,35564.533973,31.466666666666665
32,39032.74426785556,42332.07656799999,35564.533973,31.466666666666665
33,39247.4080401889,42332.07656799999,35643.95509300001,30.37931034482759
34,39602.18739435556,42332.07656800001,35955.13056899998,27.62758620689655
35,39602.18739435556,42332.07656800001,35955.13056899998,27.62758620689655
36,39602.18739435556,42332.07656800001,35955.13056899998,27.62758620689655
37,39931.250680288904,42332.07656800001,35982.42603900001,24.917241379310344
38,39931.250680288904,42332.07656800001,35982.42603900001,24.917241379310344
39,39931.250680288904,42332.07656800001,35982.42603900001,24.917241379310344
40,40133.785122922236,42332.07656800001,36163.91788066668,23.908045977011493
41,40511.42658222224,42437.50219300002,36456.198919,22.232183908045975
42,40511.42658222224,42437.50219300002,36456.198919,22.232183908045975
43,40879.959844555575,42437.50219300002,36731.18894300002,18.65977011494253
44,40933.41284597779,42437.50219300002,37040.095668,17.55632183908046
45,41198.60901347779,42437.50219300002,37850.62530500002,14.342528735632184
46,41487.36058974446,42437.50219300002,38334.778985666686,12.35632183908046
47,41517.974664988906,42437.50219300002,39253.201243000025,12.432183908045976
48,41618.80343665557,42437.50219300002,39724.82566800002,12.15632183908046
49,41780.98347495557,42437.50219300002,40092.29631900002,10.314942528735632
50,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
51,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
52,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
53,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
54,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
55,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
56,41902.08671534446,42437.50219300002,40239.89219400001,9.632183908045977
57,41962.70561947779,42437.50219300002,40279.84634799999,9.73103448275862
58,42031.11329347779,42437.50219300002,41455.97316066669,8.567816091954024
59,42031.11329347779,42437.50219300002,41455.97316066669,8.567816091954024
60,42089.311583688905,42437.50219300002,41537.328569,8.202298850574712
61,42089.311583688905,42437.50219300002,41537.328569,8.202298850574712
62,42116.506021155576,42437.50219300002,41561.39878566669,7.588505747126437
63,42116.506021155576,42437.50219300002,41561.39878566669,7.588505747126437
64,42116.506021155576,42437.50219300002,41561.39878566669,7.588505747126437
65,42156.05211803335,42437.50219300002,41642.75419400002,7.273563218390804
66,42200.09834300002,42437.50219300003,41805.43781800003,7.110344827586207
67,42200.09834300002,42437.50219300003,41805.43781800003,7.110344827586207
68,42217.65296800002,42437.50219300003,41815.299576333324,7.039080459770115
69,42217.65296800002,42437.50219300003,41815.299576333324,7.039080459770115
70,42217.65296800002,42437.50219300003,41815.299576333324,7.039080459770115
71,42217.65296800002,42437.50219300003,41815.299576333324,7.039080459770115
72,42217.65296800002,42437.50219300003,41815.299576333324,7.039080459770115
73,42234.87886772224,42437.50219300003,41815.29957633333,6.590804597701149
74,42234.87886772224,42437.50219300003,41815.29957633333,6.590804597701149
75,42267.242773277794,42437.50219300003,42058.459318000016,5.9655172413793105
76,42273.65150133335,42437.50219300003,42058.459318000016,5.873563218390805
77,42282.77207633336,42437.50219300003,42058.45931800003,5.866666666666666
78,42291.89265133335,42437.50219300003,42076.829318,5.726436781609196
79,42291.89265133335,42437.50219300003,42076.829318,5.726436781609196
80,42301.10373050001,42437.50219300003,42079.05506800002,5.1931034482758625
81,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
82,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
83,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
84,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
85,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
86,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
87,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
88,42322.188855500026,42437.50219300003,42079.05506800002,5.248275862068965
89,42334.13709300002,42437.50219300004,42130.85488466668,5.2620689655172415
90,42334.13709300002,42437.50219300004,42130.85488466668,5.2620689655172415
91,42334.13709300002,42437.50219300004,42130.85488466668,5.2620689655172415
92,42334.13709300002,42437.50219300004,42130.85488466668,5.2620689655172415
