geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,284301.98937325564,292559.180118333,273972.5055983337,359.40919540229885
1,285025.2144142223,292559.180118333,278014.07365833345,357.5885057471265
2,285757.63442605565,292559.180118333,278809.92967533343,356.0344827586207
3,286398.93106125563,292559.180118333,279521.0413283336,353.5425287356322
4,286885.96019122226,292559.180118333,281127.02428633324,351.4
5,286885.96019122226,292559.180118333,281127.02428633324,351.4
6,286885.96019122226,292559.180118333,281127.02428633324,351.4
7,287572.16188185563,292559.180118333,281363.42807500035,348.23218390804595
8,288200.6992604334,292559.180118333,282460.3120550005,345.53333333333336
9,288711.7365635,292559.180118333,283640.1956796665,344.1862068965517
10,289117.01125472225,292559.180118333,285134.8218329999,341.1425287356322
11,289127.00989602227,292559.180118333,285434.7810720006,340.0091954022989
12,289424.82210661116,292559.180118333,286003.6341430006,337.11954022988505
13,289424.82210661116,292559.180118333,286003.6341430006,337.11954022988505
14,289920.9861737778,294295.16026733344,286714.8556416665,332.0091954022989
15,289920.9861737778,294295.16026733344,286714.8556416665,332.0091954022989
16,290271.23921863333,294295.16026733344,286926.27704633336,326.92873563218393
17,290426.6525454778,294295.16026733344,286953.53832833323,322.78620689655173
18,290426.6525454778,294295.16026733344,286953.53832833323,322.78620689655173
19,290694.76688199997,294295.16026733344,287736.11548966647,318.3149425287356
20,291038.2370619333,294295.16026733344,288405.9157683332,310.82988505747124
21,291109.72679221106,294295.16026733344,288973.785060667,307.6367816091954
22,291109.72679221106,294295.16026733344,288973.785060667,307.6367816091954
23,291278.40401314443,294295.16026733344,289257.31774400023,300.51264367816094
24,291656.5986667222,299347.6454340001,289412.1602250001,296.1770114942529
25,291767.26863295556,299347.6454340001,289451.9349150002,295.98620689655166
26,291767.26863295556,299347.6454340001,289451.9349150002,295.98620689655166
27,291988.05150441104,299347.6454340001,290229.43596366677,288.3816091954023
28,291988.05150441104,299347.6454340001,290229.43596366677,288.3816091954023
29,292125.08889262215,299347.6454340001,290430.7038303334,285.4
30,292283.8819703666,299347.6454340001,290461.9414953335,284.78850574712646
31,292479.13107903325,299347.6454340001,290618.8554536667,283.32183908045977
32,292658.1319418999,299347.6454340001,290775.87007199967,270.8965517241379
33,292837.54701195547,299347.6454340001,290840.97674833325,258.3724137931035
34,293131.94173821097,299347.6454340001,290858.9544903331,252.91954022988506
35,293517.09012923326,300882.7501090001,291375.6761106669,247.82528735632184
36,293626.31607084436,300882.7501090001,291752.3025063333,241.0735632183908
37,293626.31607084436,300882.7501090001,291752.3025063333,241.0735632183908
38,293702.3535092666,300882.7501090001,291802.7512413332,238.36321839080458
39,293702.3535092666,300882.7501090001,291802.7512413332,238.36321839080458
40,293741.242436,300882.7501090001,291864.8444256669,238.6689655172414
41,293819.96154908877,300882.7501090001,291983.39135999966,235.97471264367817
42,293819.96154908877,300882.7501090001,291983.39135999966,235.97471264367817
43,293819.96154908877,300882.7501090001,291983.39135999966,235.97471264367817
44,294112.02033112216,300882.7501090001,292177.544725667,230.35402298850576
45,294112.02033112216,300882.7501090001,292177.544725667,230.35402298850576
46,294112.02033112216,300882.7501090001,292177.544725667,230.35402298850576
47,294406.89086136664,300882.7501090001,292374.10048499994,231.73333333333332
48,294406.89086136664,300882.7501090001,292374.10048499994,231.73333333333332
49,294628.0796067333,300882.7501090001,292397.7301729999,233.64367816091954
50,294628.0796067333,300882.7501090001,292397.7301729999,233.64367816091954
51,294952.9431509555,300882.7501090001,292589.2272840002,221.29425287356324
52,295272.12186576665,300882.7501090001,292732.2592120001,221.24367816091953
53,295272.12186576665,300882.7501090001,292732.2592120001,221.24367816091953
54,295501.0201370222,300882.7501090001,292913.6526673333,204.84367816091955
55,295604.7837606333,300882.7501090001,292967.6261090002,204.58850574712645
56,295604.7837606333,300882.7501090001,292967.6261090002,204.58850574712645
57,295604.7837606333,300882.7501090001,292967.6261090002,204.58850574712645
58,295951.1477356333,303358.54535900004,292969.4190433333,201.4344827586207
59,296221.0666147333,303358.54535900004,293205.5021563332,190.80689655172415
60,296672.4820686778,303358.54535900004,293569.2652433332,173.37011494252874
61,296672.4820686778,303358.54535900004,293569.2652433332,173.37011494252874
62,296672.4820686778,303358.54535900004,293569.2652433332,173.37011494252874
63,296731.53778031113,303358.54535900004,293756.9415683329,165.70114942528735
64,297217.29129746667,303358.54535900004,293882.19880166656,150.24597701149426
65,297491.69585326675,303358.54535900004,294033.4256590001,150.23908045977012
66,297491.69585326675,303358.54535900004,294033.4256590001,150.23908045977012
67,297793.57331826666,303358.54535900004,294126.70426733326,145.75632183908047
68,297793.57331826666,303358.54535900004,294126.70426733326,145.75632183908047
69,297793.57331826666,303358.54535900004,294126.70426733326,145.75632183908047
